"","harvestDate","harvester","biosampleNumber","experimentDesign","experimentObservations","strain","genotype","floodmedia","inductionDelay","treatment","timePoint","replicate"
"31","07.24.19","J.PLAGGENBERG",7,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"EtoH",15,1
"32","07.24.19","J.PLAGGENBERG",8,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"EtoH",15,1
"33","07.24.19","J.PLAGGENBERG",9,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"EtoH",15,1
"34","07.24.19","J.PLAGGENBERG",10,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"Estradiol",15,1
"35","07.24.19","J.PLAGGENBERG",11,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"Estradiol",15,1
"36","07.24.19","J.PLAGGENBERG",12,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"Estradiol",15,1
"37","07.24.19","J.PLAGGENBERG",13,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"EtoH",90,1
"38","07.24.19","J.PLAGGENBERG",14,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"EtoH",90,1
"39","07.24.19","J.PLAGGENBERG",15,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"EtoH",90,1
"40","07.24.19","J.PLAGGENBERG",16,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"Estradiol",90,1
"41","07.24.19","J.PLAGGENBERG",17,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"Estradiol",90,1
"42","07.24.19","J.PLAGGENBERG",18,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"Estradiol",90,1
"43","08.09.19","J.PLAGGENBERG",1,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"EtoH",-1,2
"44","08.09.19","J.PLAGGENBERG",2,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"EtoH",-1,2
"45","08.09.19","J.PLAGGENBERG",3,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"EtoH",-1,2
"46","08.09.19","J.PLAGGENBERG",4,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"Estradiol",-1,2
"47","08.09.19","J.PLAGGENBERG",5,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"Estradiol",-1,2
"48","08.09.19","J.PLAGGENBERG",6,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"Estradiol",-1,2
"49","08.09.19","J.PLAGGENBERG",7,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"EtoH",15,2
"50","08.09.19","J.PLAGGENBERG",8,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"EtoH",15,2
"51","08.09.19","J.PLAGGENBERG",9,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"EtoH",15,2
"52","08.09.19","J.PLAGGENBERG",10,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"Estradiol",15,2
"53","08.09.19","J.PLAGGENBERG",11,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"Estradiol",15,2
"54","08.09.19","J.PLAGGENBERG",12,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"Estradiol",15,2
"55","08.09.19","J.PLAGGENBERG",13,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"EtoH",90,2
"56","08.09.19","J.PLAGGENBERG",14,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"EtoH",90,2
"57","08.09.19","J.PLAGGENBERG",15,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"EtoH",90,2
"58","08.09.19","J.PLAGGENBERG",16,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"Estradiol",90,2
"59","08.09.19","J.PLAGGENBERG",17,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"Estradiol",90,2
"60","08.09.19","J.PLAGGENBERG",18,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"Estradiol",90,2
"61","08.12.19","J.PLAGGENBERG",1,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"EtoH",-1,3
"62","08.12.19","J.PLAGGENBERG",2,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"EtoH",-1,3
"63","08.12.19","J.PLAGGENBERG",3,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"EtoH",-1,3
"64","08.12.19","J.PLAGGENBERG",4,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"Estradiol",-1,3
"65","08.12.19","J.PLAGGENBERG",5,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"Estradiol",-1,3
"66","08.12.19","J.PLAGGENBERG",6,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"Estradiol",-1,3
"67","08.12.19","J.PLAGGENBERG",7,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"EtoH",15,3
"68","08.12.19","J.PLAGGENBERG",8,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"EtoH",15,3
"69","08.12.19","J.PLAGGENBERG",9,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"EtoH",15,3
"70","08.12.19","J.PLAGGENBERG",10,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"Estradiol",15,3
"71","08.12.19","J.PLAGGENBERG",11,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"Estradiol",15,3
"72","08.12.19","J.PLAGGENBERG",12,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"Estradiol",15,3
"73","08.12.19","J.PLAGGENBERG",13,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"EtoH",90,3
"74","08.12.19","J.PLAGGENBERG",14,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"EtoH",90,3
"75","08.12.19","J.PLAGGENBERG",15,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"EtoH",90,3
"76","08.12.19","J.PLAGGENBERG",16,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"Estradiol",90,3
"77","08.12.19","J.PLAGGENBERG",17,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"Estradiol",90,3
"78","08.12.19","J.PLAGGENBERG",18,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"Estradiol",90,3
"79","08.15.19","J.PLAGGENBERG",1,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"EtoH",-1,1
"80","08.15.19","J.PLAGGENBERG",2,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"EtoH",-1,1
"81","08.15.19","J.PLAGGENBERG",3,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"Estradiol",-1,1
"82","08.15.19","J.PLAGGENBERG",4,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"Estradiol",-1,1
"83","08.15.19","J.PLAGGENBERG",5,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"EtoH",15,1
"84","08.15.19","J.PLAGGENBERG",6,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"EtoH",15,1
"85","08.15.19","J.PLAGGENBERG",7,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"Estradiol",15,1
"86","08.15.19","J.PLAGGENBERG",8,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"Estradiol",15,1
"87","08.15.19","J.PLAGGENBERG",9,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"EtoH",-1,2
"88","08.15.19","J.PLAGGENBERG",10,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"EtoH",-1,2
"89","08.15.19","J.PLAGGENBERG",11,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"Estradiol",-1,2
"90","08.15.19","J.PLAGGENBERG",12,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"Estradiol",-1,2
"91","08.15.19","J.PLAGGENBERG",13,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"EtoH",15,2
"92","08.15.19","J.PLAGGENBERG",14,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"EtoH",15,2
"93","08.15.19","J.PLAGGENBERG",15,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"Estradiol",15,2
"94","08.15.19","J.PLAGGENBERG",16,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"Estradiol",15,2
"95","08.16.19","J.PLAGGENBERG",1,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"EtoH",-1,3
"96","08.16.19","J.PLAGGENBERG",2,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"EtoH",-1,3
"97","08.16.19","J.PLAGGENBERG",3,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"Estradiol",-1,3
"98","08.16.19","J.PLAGGENBERG",4,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"Estradiol",-1,3
"99","08.16.19","J.PLAGGENBERG",5,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"EtoH",15,3
"100","08.16.19","J.PLAGGENBERG",6,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"EtoH",15,3
"101","08.16.19","J.PLAGGENBERG",7,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"Estradiol",15,3
"102","08.16.19","J.PLAGGENBERG",8,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"Estradiol",15,3
"103","08.16.19","J.PLAGGENBERG",9,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"EtoH",-1,4
"104","08.16.19","J.PLAGGENBERG",10,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"EtoH",-1,4
"105","08.16.19","J.PLAGGENBERG",11,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"Estradiol",-1,4
"106","08.16.19","J.PLAGGENBERG",12,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"Estradiol",-1,4
"107","08.16.19","J.PLAGGENBERG",13,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"EtoH",15,4
"108","08.16.19","J.PLAGGENBERG",14,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"EtoH",15,4
"109","08.16.19","J.PLAGGENBERG",15,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"Estradiol",15,4
"110","08.16.19","J.PLAGGENBERG",16,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"Estradiol",15,4
"111","09.10.19","J.PLAGGENBERG",1,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"EtoH",-1,5
"112","09.10.19","J.PLAGGENBERG",2,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"EtoH",-1,5
"113","09.10.19","J.PLAGGENBERG",3,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"Estradiol",-1,5
"114","09.10.19","J.PLAGGENBERG",4,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"Estradiol",-1,5
"115","09.10.19","J.PLAGGENBERG",5,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"EtoH",15,5
"116","09.10.19","J.PLAGGENBERG",6,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"EtoH",15,5
"117","09.10.19","J.PLAGGENBERG",7,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"Estradiol",15,5
"118","09.10.19","J.PLAGGENBERG",8,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"Estradiol",15,5
"119","09.10.19","J.PLAGGENBERG",9,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"EtoH",-1,6
"120","09.10.19","J.PLAGGENBERG",10,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"EtoH",-1,6
"121","09.10.19","J.PLAGGENBERG",11,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"Estradiol",-1,6
"122","09.10.19","J.PLAGGENBERG",12,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"Estradiol",-1,6
"123","09.10.19","J.PLAGGENBERG",13,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"EtoH",15,6
"124","09.10.19","J.PLAGGENBERG",14,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"EtoH",15,6
"125","09.10.19","J.PLAGGENBERG",15,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",15,"Estradiol",15,6
"126","09.10.19","J.PLAGGENBERG",16,"ZEV_flood_media_delay_3",NA,NA,"BY4741","SCGal",30,"Estradiol",15,6
"127","10.10.19","J.PLAGGENBERG",1,"ZEV_induction_30min delay",NA,NA,"CBF1","SCGal",30,"EtoH",-1,1
"128","10.10.19","J.PLAGGENBERG",2,"ZEV_induction_30min delay",NA,NA,"CBF1","SCGal",30,"Estradiol",-1,1
"129","10.10.19","J.PLAGGENBERG",3,"ZEV_induction_30min delay",NA,NA,"CBF1","SCGal",30,"EtoH",15,1
"130","10.10.19","J.PLAGGENBERG",4,"ZEV_induction_30min delay",NA,NA,"CBF1","SCGal",30,"Estradiol",15,1
"131","10.10.19","J.PLAGGENBERG",5,"ZEV_induction_30min delay",NA,NA,"CBF1","SCGal",30,"EtoH",90,1
"132","10.10.19","J.PLAGGENBERG",6,"ZEV_induction_30min delay",NA,NA,"CBF1","SCGal",30,"Estradiol",90,1
"133","10.10.19","J.PLAGGENBERG",7,"ZEV_induction_30min delay",NA,NA,"CBF1","SCGal",30,"EtoH",-1,2
"134","10.10.19","J.PLAGGENBERG",8,"ZEV_induction_30min delay",NA,NA,"CBF1","SCGal",30,"Estradiol",-1,2
"135","10.10.19","J.PLAGGENBERG",9,"ZEV_induction_30min delay",NA,NA,"CBF1","SCGal",30,"EtoH",15,2
"136","10.10.19","J.PLAGGENBERG",10,"ZEV_induction_30min delay",NA,NA,"CBF1","SCGal",30,"Estradiol",15,2
"137","10.10.19","J.PLAGGENBERG",11,"ZEV_induction_30min delay",NA,NA,"CBF1","SCGal",30,"EtoH",90,2
"138","10.10.19","J.PLAGGENBERG",12,"ZEV_induction_30min delay",NA,NA,"CBF1","SCGal",30,"Estradiol",90,2
